epoch,step,max_step,loss,loss_action,loss_video,lr,steps_per_sec,samples_per_sec
0,1,5000,2.8829,2.24,0.6365,7.98e-08,0.04,4.02
0,2,5000,2.7549,2.06,0.6863,1.2e-07,0.06,5.65
0,3,5000,2.9713,2.34,0.6249,1.6e-07,0.08,8.2
0,4,5000,2.5496,1.94,0.6086,1.99e-07,0.08,7.63
0,5,5000,2.853,2.13,0.7143,2.39e-07,0.1,9.33
0,6,5000,2.8865,2.25,0.633,2.79e-07,0.09,8.43
0,7,5000,2.907,2.24,0.6585,3.19e-07,0.1,9.68
0,8,5000,2.9136,2.25,0.6634,3.59e-07,0.09,8.89
0,9,5000,2.8509,2.14,0.7071,3.99e-07,0.1,9.88
0,10,5000,2.6162,1.9,0.6232,4.38e-07,0.09,9.06
0,11,5000,2.8849,2.2,0.6381,4.78e-07,0.1,9.87
0,12,5000,2.892,2.2,0.6168,5.18e-07,0.09,9.1
0,13,5000,2.8045,2.2,0.5806,5.58e-07,0.1,9.77
0,14,5000,2.8179,2.1,0.658,5.98e-07,0.09,9.26
0,15,5000,2.749,2.1,0.6246,6.38e-07,0.1,9.84
0,16,5000,2.7158,2.1,0.5993,6.77e-07,0.1,9.43
0,17,5000,2.6794,2.0,0.6008,7.17e-07,0.1,9.96
0,18,5000,2.7417,2.1,0.6259,7.57e-07,0.1,9.57
0,19,5000,2.7123,2.1,0.5802,7.97e-07,0.1,10.04
0,20,5000,2.6675,2.0,0.6389,8.37e-07,0.1,9.66
0,21,5000,2.8598,2.3,0.5471,8.77e-07,0.1,10.09
0,22,5000,2.7135,2.2,0.486,9.16e-07,0.1,9.79
0,23,5000,2.5732,2.0,0.5188,9.56e-07,0.1,10.18
0,24,5000,2.7439,2.1,0.5695,9.96e-07,0.1,9.94
0,25,5000,2.7368,2.1,0.5828,1.04e-06,0.11,10.31
0,26,5000,2.5146,1.9,0.5594,1.08e-06,0.1,10.12
0,27,5000,2.5119,2.0,0.4539,1.12e-06,0.11,10.46
0,28,5000,2.3601,1.8,0.4641,1.16e-06,0.1,10.27
0,29,5000,2.6845,2.1,0.5038,1.2e-06,0.11,10.59
0,30,5000,2.245,1.8,0.4382,1.24e-06,0.11,10.38
0,31,5000,2.4649,2.0,0.4099,1.28e-06,0.11,10.68
0,32,5000,2.4527,1.9,0.4915,1.31e-06,0.11,10.51
0,33,5000,2.3078,1.8,0.4254,1.35e-06,0.11,10.8
0,34,5000,2.6797,2.2,0.478,1.39e-06,0.11,10.61
0,35,5000,2.5078,2.0,0.4577,1.43e-06,0.11,10.88
0,36,5000,2.5592,2.1,0.4362,1.47e-06,0.11,10.7
0,37,5000,2.4248,1.9,0.4411,1.51e-06,0.11,10.96
0,38,5000,2.3445,1.9,0.4238,1.55e-06,0.11,10.8
0,39,5000,2.2547,1.7,0.4958,1.59e-06,0.11,11.05
0,40,5000,2.5152,2.0,0.4552,1.63e-06,0.11,10.88
0,41,5000,2.2467,1.7,0.4749,1.67e-06,0.11,11.12
0,42,5000,2.4206,2.0,0.3851,1.71e-06,0.11,10.97
0,43,5000,2.3449,1.8,0.4633,1.75e-06,0.11,11.2
0,44,5000,2.4334,1.9,0.4514,1.79e-06,0.11,11.04
0,45,5000,2.159,1.7,0.4304,1.83e-06,0.11,11.26
0,46,5000,2.2309,1.7,0.4777,1.87e-06,0.11,11.12
0,47,5000,2.1104,1.6,0.4401,1.91e-06,0.12,11.31
0,48,5000,2.2052,1.8,0.4051,1.95e-06,0.11,11.18
0,49,5000,2.1556,1.7,0.392,1.99e-06,0.12,11.36
0,50,5000,2.2537,1.8,0.4239,2.03e-06,0.11,11.21
0,51,5000,2.195,1.7,0.4227,2.07e-06,0.12,11.39
0,52,5000,2.1252,1.6,0.4699,2.11e-06,0.11,11.27
0,53,5000,2.3087,1.8,0.4744,2.15e-06,0.12,11.43
0,54,5000,2.1017,1.6,0.4113,2.19e-06,0.12,11.29
0,55,5000,2.0783,1.6,0.383,2.23e-06,0.12,11.47
0,56,5000,1.9764,1.5,0.3969,2.27e-06,0.12,11.34
0,57,5000,2.0853,1.6,0.4354,2.31e-06,0.12,11.52
0,58,5000,2.115,1.6,0.4393,2.35e-06,0.12,11.36
0,59,5000,2.0361,1.5,0.4535,2.39e-06,0.12,11.53
